region,type registrering,euroklasser,drivstofftype,år,statistikkvariabel,"12906: Førstegangsregistrerte kjøretøy,"
4204 Kristiansand,Nye kjøretøy,Euro-0,Parafin,2020,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Parafin,2020,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Parafin,2020,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Parafin,2020,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Parafin,2020,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Parafin,2020,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2019,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2019,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2019,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2019,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2019,Varebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2019,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2019,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2019,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2019,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2019,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2019,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2019,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2019,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2020,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2020,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2020,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2020,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2020,Varebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2020,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2020,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2020,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2020,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2020,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2020,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2020,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Gass,2020,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2019,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2019,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2019,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2019,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2019,Varebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2019,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2019,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2019,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2019,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2019,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2019,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2019,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2019,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2020,Personbiler,1760
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2020,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2020,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2020,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2020,Varebiler,21
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2020,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2020,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2020,Mopeder,9
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2020,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2020,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2020,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2020,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,El.,2020,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2019,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2019,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2019,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2019,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2019,Varebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2019,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2019,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2019,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2019,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2019,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2019,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2019,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2019,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2020,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2020,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2020,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2020,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2020,Varebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2020,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2020,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2020,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2020,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2020,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2020,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2020,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Hydrogen,2020,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2019,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2019,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2019,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2019,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2019,Varebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2019,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2019,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2019,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2019,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2019,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2019,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2019,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2019,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2020,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2020,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2020,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2020,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2020,Varebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2020,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2020,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2020,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2020,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2020,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2020,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2020,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ladbar",2020,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2019,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2019,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2019,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2019,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2019,Varebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2019,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2019,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2019,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2019,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2019,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2019,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2019,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2019,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2020,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2020,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2020,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2020,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2020,Varebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2020,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2020,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2020,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2020,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2020,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2020,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2020,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Bensin hybrid, ikke ladbar",2020,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2019,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2019,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2019,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2019,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2019,Varebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2019,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2019,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2019,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2019,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2019,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2019,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2019,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2019,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2020,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2020,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2020,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2020,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2020,Varebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2020,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2020,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2020,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2020,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2020,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2020,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2020,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ladbar",2020,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2019,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2019,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2019,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2019,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2019,Varebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2019,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2019,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2019,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2019,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2019,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2019,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2019,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2019,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2020,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2020,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2020,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2020,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2020,Varebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2020,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2020,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2020,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2020,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2020,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2020,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2020,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,"Diesel hybrid, ikke ladbar",2020,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2019,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2019,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2019,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2019,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2019,Varebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2019,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2019,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2019,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2019,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2019,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2019,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2019,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2019,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2020,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2020,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2020,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2020,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2020,Varebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2020,Kombinerte biler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2020,Lastebiler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2020,Mopeder,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2020,Lette motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2020,Tunge motorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2020,Beltemotorsykler,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2020,Traktorer,0
4204 Kristiansand,Nye kjøretøy,Euro-0,Annet drivstoff,2020,Motorredskaper,0
4204 Kristiansand,Nye kjøretøy,Euro-1,Bensin,2019,Personbiler,0
4204 Kristiansand,Nye kjøretøy,Euro-1,Bensin,2019,Ambulanser,0
4204 Kristiansand,Nye kjøretøy,Euro-1,Bensin,2019,Bobiler,0
4204 Kristiansand,Nye kjøretøy,Euro-1,Bensin,2019,Busser,0
4204 Kristiansand,Nye kjøretøy,Euro-1,Bensin,2019,Varebiler,0
